Sample_ID,Heterozygous,Homozygous,Missing
TAMex0379.1,21.16,77.31,1.53
TAMex0380.3,21.97,75.28,2.75
TAMex0381.1,13.22,84.44,2.34
TAMex0382.2,22.18,74.47,3.36
TAMex0383.1,17.4,76.6,6
TAMex0384.1,21.36,74.67,3.97
TAMex0385.1,24.31,72.63,3.05
TAMex0386.1,14.14,83.52,2.34
TAMex0387.2,21.67,74.06,4.27
TAMex0389.1,21.36,75.38,3.26
TAMex0390.1,24.31,73.96,1.73
TAMex0391.2,24.52,73.86,1.63
TAMex0393.1,19.94,77.42,2.64
TAMex0396.1,21.46,75.69,2.85
TAMex0398.3,21.16,77.42,1.42
TAMex0400.1,21.77,74.57,3.66
TAMex0403.1,26.75,69.18,4.07
TAMex0405.1,22.89,74.06,3.05
TAMex0410.2,10.48,86.16,3.36
TAMex0412.1,24.82,70.8,4.37
TAMex0414.1,26.35,71.31,2.34
TAMex0418.1,24.21,70.5,5.29
TAMex0419.1,7.12,85.66,7.22
TAMex0422.1,24.21,70.91,4.88
TAMex0424.1,19.63,77.62,2.75
TAMex0426.1,23.5,72.84,3.66
TAMex0428.1,21.77,75.08,3.15
TAMex0429.1,19.63,75.48,4.88
TAMex0431.2,24.31,71.31,4.37
TAMex0433.1,25.43,68.97,5.6
TAMex0434.1,21.97,73.35,4.68
TAMex0438.1,24.82,70.5,4.68
TAMex0441.1,22.58,74.06,3.36
TAMex0442.1,24.11,68.77,7.12
TAMex0444.1,19.13,75.28,5.6
TAMex0445.1,24.52,70.91,4.58
TAMex0446.1,18.21,78.13,3.66
TAMex0447.1,20.75,75.08,4.17
TAMex0448.1,25.03,67.24,7.73
TAMex0449.1,25.13,70.91,3.97
TAMex0450.1,18.31,78.43,3.26
TAMex0452.1,16.38,77.31,6.31
TAMex0455.2,24.21,71.41,4.37
TAMex0456.1,22.89,68.36,8.75
TAMex0457.1,24.01,69.28,6.71
TAMex0458.1,21.26,72.84,5.9
TAMex0462.2,23.4,72.53,4.07
TAMex0463.1,24.62,71.31,4.07
TAMex0464.2,26.65,66.63,6.71
TAMex0465.3,25.94,71.62,2.44
TAMex0470.1,20.14,75.79,4.07
TAMex0471.2,23.8,68.16,8.04
TAMex0472.2,22.28,71.72,6
TAMex0473.2,22.38,73.65,3.97
TAMex0474.2,21.57,74.16,4.27
TAMex0475.1,18.82,74.16,7.02
TAMex0477.1,25.43,71.41,3.15
TAMex0478.1,21.57,71.82,6.61
TAMex0480.1,14.65,82.4,2.95
TAMex0481.3,25.53,72.33,2.14
TAMex0482.2,27.77,68.46,3.76
TAMex0483.1,11.29,84.94,3.76
TAMex0485.2,18.82,73.35,7.83
TAMex0488.1,24.62,70.7,4.68
TAMex0489.1,23.6,68.77,7.63
TAMex0490.1,21.36,70.6,8.04
TAMex0494.1,21.16,75.38,3.46
TAMex0495.1,23.5,70.91,5.6
TAMex0497.2,20.45,61.44,18.11
TAMex0499.1,20.65,74.36,4.98
TAMex0500.2,22.48,73.65,3.87
TAMex0501.1,27.16,68.26,4.58
TAMex0504.3,24.52,71.82,3.66
TAMex0509.1,26.75,69.07,4.17
TAMex0511.1,23.8,70.7,5.49
TAMex0512.1,23.7,71.11,5.19
TAMex0514.1,18.41,77.01,4.58
TAMex0515.1,22.99,73.75,3.26
TAMex0516.1,13.84,45.68,40.49
TAMex0517.1,27.26,67.85,4.88
TAMex0520.1,20.45,76.09,3.46
TAMex0522.1,23.19,75.58,1.22
TAMex0525.1,23.5,73.65,2.85
TAMex0526.1,23.3,74.16,2.54
TAMex0528.1,23.4,72.63,3.97
TAMex0529.1,20.04,75.89,4.07
TAMex0533.1,23.09,71.82,5.09
TAMex0538.1,23.91,74.06,2.03
TAMex0539.1,22.08,75.58,2.34
TAMex0540.1,20.85,74.47,4.68
TAMex0542.1,25.13,69.07,5.8
TAMex0544.1,19.43,77.82,2.75
TAMex0545.1,24.01,72.74,3.26
TAMex0547.1,19.43,76.2,4.37
TAMex0548.1,19.84,74.57,5.6
TAMex0549.1,22.18,74.97,2.85
TAMex0550.3,21.77,58.7,19.53
TAMex0551.1,21.87,75.79,2.34
TAMex0554.1,23.7,72.23,4.07
TAMex0555.1,23.6,73.96,2.44
TAMex0557.1,21.36,73.35,5.29
TAMex0559.3,21.87,66.12,12
TAMex0561.1,24.31,72.02,3.66
TAMex0564.1,26.96,70.6,2.44
TAMex0566.1,21.67,71.01,7.32
TAMex0567.1,23.6,69.28,7.12
TAMex0568.1,26.35,70.3,3.36
TAMex0573.1,25.43,71.01,3.56
TAMex0574.1,21.87,74.26,3.87
TAMex0575.1,18.62,77.11,4.27
TAMex0579.2,19.13,78.13,2.75
TAMex0582.1,20.45,75.58,3.97
TAMex0583.3,27.16,68.36,4.48
TAMex0585.2,27.06,70.19,2.75
TAMex0587.1,23.8,71.62,4.58
TAMex0588.2,22.48,73.45,4.07
TAMex0592.1,25.84,71.92,2.24
TAMex0594.4,24.52,66.33,9.16
TAMex0597.3,23.4,63.38,13.22
TAMex0598.1,23.19,71.72,5.09
TAMex0599.3,25.23,71.82,2.95
TAMex0604.4,22.58,74.26,3.15
TAMex0607.3,19.13,75.89,4.98
TAMex0608.5,20.45,73.75,5.8
TAMex0610.1,22.28,71.01,6.71
TAMex0611.1,19.53,77.52,2.95
TAMex0612.2,25.33,70.6,4.07
TAMex0613.2,25.53,72.02,2.44
TAMex0614.2,24.52,69.79,5.7
TAMex0615.1,28.08,69.79,2.14
TAMex0616.2,21.77,72.94,5.29
TAMex0618.1,21.57,71.01,7.43
TAMex0619.2,23.8,73.45,2.75
TAMex0621.2,22.99,71.01,6
TAMex0623.2,21.06,72.33,6.61
TAMex0624.1,24.11,70.3,5.6
TAMex0625.1,22.58,72.23,5.19
TAMex0626.2,7.73,86.37,5.9
TAMex0628.1,24.72,68.77,6.51
TAMex0629.1,20.65,70.7,8.65
TAMex0631.2,24.01,71.31,4.68
TAMex0633.2,22.28,75.28,2.44
TAMex0634.3,20.65,74.26,5.09
TAMex0635.2,24.72,69.48,5.8
TAMex0636.2,22.79,71.31,5.9
TAMex0638.1,25.13,71.82,3.05
TAMex0640.1,21.16,75.48,3.36
TAMex0643.1,21.87,73.65,4.48
TAMex0644.1,22.48,73.04,4.48
TAMex0645.1,22.99,74.36,2.64
TAMex0650.1,23.6,73.55,2.85
TAMex0651.2,21.97,71.01,7.02
TAMex0652.1,24.82,72.23,2.95
TAMex0656.1,22.38,71.41,6.21
TAMex0657.1,4.88,88.5,6.61
TAMex0660.1,24.21,70.19,5.6
TAMex0662.1,19.63,76.09,4.27
TAMex0666.1,26.25,69.89,3.87
TAMex0667.1,25.13,71.01,3.87
TAMex0668.1,18.92,77.82,3.26
TAMex0670.1,24.42,69.89,5.7
TAMex0671.1,22.58,73.96,3.46
TAMex0674.1,23.3,71.92,4.78
TAMex0677.2,19.02,71.92,9.05
TAMex0678.1,24.21,72.02,3.76
TAMex0680.1,25.33,72.23,2.44
TAMex0681.1,26.45,68.36,5.19
TAMex0682.1,24.21,70.91,4.88
TAMex0683.1,24.82,72.33,2.85
TAMex0684.1,21.97,72.94,5.09
TAMex0685.2,24.72,72.02,3.26
TAMex0687.1,25.94,72.13,1.93
TAMex0688.1,20.04,74.87,5.09
TAMex0689.1,22.38,73.96,3.66
TAMex0691.1,25.33,72.02,2.64
TAMex0693.1,21.67,72.63,5.7
TAMex0696.1,24.31,71.21,4.48
TAMex0697.1,19.02,77.52,3.46
TAMex0699.1,21.57,72.33,6.1
TAMex0700.4,25.94,68.57,5.49
TAMex0703.2,19.53,77.31,3.15
TAMex0705.1,22.69,73.65,3.66
TAMex0706.1,26.35,67.45,6.21
TAMex0708.1,24.11,72.94,2.95
TAMex0714.1,19.33,76.2,4.48
TAMex0715.1,25.13,67.65,7.22
TAMex0716.1,19.94,72.23,7.83
TAMex0719.1,18.62,73.96,7.43
TAMex0721.1,25.64,65.51,8.85
TAMex0722.1,24.11,71.62,4.27
TAMex0724.2,23.3,72.63,4.07
TAMex0725.1,24.82,70.7,4.48
TAMex0726.1,21.46,74.36,4.17
TAMex0727.1,22.48,71.92,5.6
TAMex0728.2,17.29,74.06,8.65
TAMex0732.2,22.79,73.65,3.56
TAMex0733.2,24.62,72.94,2.44
TAMex0734.2,23.6,72.13,4.27
TAMex0737.2,20.45,73.04,6.51
TAMex0738.2,22.89,74.36,2.75
TAMex0744.2,21.16,70.6,8.24
TAMex0747.2,21.87,75.08,3.05
TAMex0750.1,23.6,72.23,4.17
TAMex0751.2,24.92,71.62,3.46
TAMex0752.2,21.87,73.75,4.37
TAMex0753.2,22.69,72.33,4.98
TAMex0756.2,22.28,74.57,3.15
TAMex0757.1,25.94,72.02,2.03
TAMex0759.2,19.43,75.28,5.29
TAMex0761.4,21.67,75.38,2.95
TAMex0762.1,17.7,80.47,1.83
TAMex0763.2,24.21,71.82,3.97
TAMex0764.1,24.01,69.68,6.31
TAMex0765.2,23.19,73.25,3.56
TAMex0766.2,23.5,73.55,2.95
TAMex0767.2,23.8,71.11,5.09
TAMex0768.2,22.58,73.04,4.37
TAMex0769.2,24.62,68.87,6.51
TAMex0773.1,23.19,70.4,6.41
TAMex0775.2,25.84,69.28,4.88
TAMex0779.2,24.21,68.57,7.22
TAMex0782.2,24.31,72.53,3.15
TAMex0784.1,26.35,70.5,3.15
TAMex0785.1,23.8,66.84,9.36
TAMex0786.2,24.31,69.89,5.8
TAMex0790.1,21.46,74.16,4.37
TAMex0791.1,21.36,74.97,3.66
TAMex0792.2,22.89,72.23,4.88
TAMex0796.2,23.19,72.63,4.17
TAMex0798.2,24.52,68.57,6.92
TAMex0799.1,26.45,69.68,3.87
TAMex0801.2,24.72,71.41,3.87
TAMex0802.1,19.43,74.47,6.1
TAMex0804.1,10.48,84.44,5.09
TAMex0805.1,24.11,70.4,5.49
TAMex0806.1,20.55,70.91,8.55
TAMex0807.2,20.96,76.09,2.95
TAMex0809.2,24.62,71.21,4.17
TAMex0811.2,20.75,74.36,4.88
TAMex0813.1,22.38,74.06,3.56
TAMex0814.1,19.23,75.28,5.49
TAMex0816.1,23.7,72.94,3.36
TAMex0817.1,26.65,70.6,2.75
TAMex0818.1,24.62,72.74,2.64
TAMex0819.1,24.62,69.58,5.8
TAMex0820.2,22.69,72.23,5.09
TAMex0821.1,19.43,77.01,3.56
TAMex0822.1,26.14,71.41,2.44
TAMex0824.1,23.7,71.21,5.09
TAMex0825.1,20.14,76.2,3.66
TAMex0830.1,21.77,73.75,4.48
TAMex0831.1,23.6,71.72,4.68
TAMex0832.1,16.48,79.65,3.87
TAMex0839.2,20.85,73.45,5.7
TAMex0840.1,23.4,72.13,4.48
TAMex0843.2,26.45,70.5,3.05
TAMex0845.2,24.11,70.91,4.98
TAMex0849.3,25.94,69.48,4.58
TAMex0852.1,23.6,70.6,5.8
TAMex0853.2,23.8,69.79,6.41
TAMex0854.2,23.19,71.72,5.09
TAMex0855.2,23.4,74.16,2.44
TAMex0856.2,17.7,77.42,4.88
TAMex0857.1,22.58,72.84,4.58
TAMex0858.2,21.36,73.35,5.29
TAMex0860.1,20.04,76.6,3.36
TAMex0861.1,23.4,73.75,2.85
TAMex0862.1,22.48,75.28,2.24
TAMex0869.1,24.01,72.63,3.36
TAMex0872.1,23.3,71.11,5.6
TAMex0873.1,24.42,69.58,6
TAMex0874.1,27.47,67.75,4.78
TAMex0875.2,25.23,67.96,6.82
TAMex0876.2,23.6,73.35,3.05
TAMex0878.2,21.97,73.04,4.98
TAMex0879.1,23.09,71.31,5.6
TAMex0883.1,23.3,72.94,3.76
TAMex0887.2,22.58,73.14,4.27
TAMex0890.1,25.74,70.3,3.97
TAMex0891.1,24.72,72.23,3.05
TAMex0892.1,19.84,74.57,5.6
TAMex0894.1,19.43,73.65,6.92
TAMex0895.1,21.57,75.38,3.05
TAMex0896.2,23.19,73.35,3.46
TAMex0897.2,22.18,71.41,6.41
TAMex0898.1,25.13,72.84,2.03
TAMex0899.1,22.58,74.47,2.95
TAMex0900.1,22.48,73.75,3.76
TAMex0901.2,23.6,70.4,6
TAMex0902.1,21.16,72.74,6.1
TAMex0905.2,24.72,71.92,3.36
TAMex0906.1,22.99,75.48,1.53
TAMex0908.1,25.74,71.62,2.64
TAMex0915.1,8.85,87.69,3.46
TAMex0916.1,21.06,74.87,4.07
TAMex0917.1,18.41,76.7,4.88
TAMex0918.2,24.52,69.18,6.31
TAMex0919.1,23.8,73.14,3.05
TAMex0921.1,25.23,72.84,1.93
TAMex0924.1,18.51,75.08,6.41
TAMex0925.1,23.09,71.52,5.39
TAMex0927.1,19.84,75.48,4.68
TAMex0929.1,20.24,76.09,3.66
TAMex0930.1,23.6,72.13,4.27
TAMex0931.1,20.14,73.86,6
TAMex0932.2,17.5,79.65,2.85
TAMex0933.1,20.96,76.3,2.75
TAMex0937.1,22.28,71.62,6.1
TAMex0942.1,24.21,73.96,1.83
TAMex0943.1,9.87,86.78,3.36
TAMex0945.1,21.06,71.82,7.12
TAMex0947.1,25.94,69.38,4.68
TAMex0949.1,21.87,73.86,4.27
TAMex0952.1,22.69,72.23,5.09
TAMex0961.2,23.4,71.01,5.6
TAMex0963.1,20.14,77.42,2.44
TAMex0966.1,27.16,68.46,4.37
TAMex0970.1,22.79,73.04,4.17
TAMex0971.1,24.11,69.48,6.41
TAMex0973.1,23.4,70.6,6
TAMex0974.1,23.3,72.43,4.27
TAMex0975.1,21.16,75.79,3.05
TAMex0976.1,19.84,75.18,4.98
TAMex0977.1,25.64,69.79,4.58
TAMex0978.1,19.63,76.7,3.66
TAMex0979.1,20.75,74.57,4.68
TAMex0980.2,18.21,75.69,6.1
TAMex0981.1,21.16,74.16,4.68
TAMex0982.1,26.14,68.67,5.19
TAMex0983.2,23.7,67.96,8.34
TAMex0985.1,20.45,74.57,4.98
TAMex0986.2,21.67,75.69,2.64
TAMex0989.1,21.77,74.47,3.76
TAMex0993.2,23.09,73.25,3.66
TAMex0995.1,24.82,70.19,4.98
TAMex0997.1,24.11,70.6,5.29
TAMex0999.1,10.38,84.74,4.88
TAMex1000.1,24.01,73.75,2.24
TAMex1001.1,26.55,67.24,6.21
TAMex1002.1,20.75,75.58,3.66
TAMex1003.1,22.08,72.94,4.98
TAMex1005.1,22.48,72.84,4.68
TAMex1006.2,26.14,68.97,4.88
TAMex1013.3,21.77,72.74,5.49
TAMex1015.1,19.63,74.97,5.39
TAMex1018.1,22.99,73.65,3.36
TAMex1019.1,23.6,74.06,2.34
TAMex1027.1,22.48,70.4,7.12
TAMex1028.1,25.53,71.31,3.15
TAMex1030.1,24.82,72.94,2.24
TAMex1031.1,23.5,73.55,2.95
TAMex1033.1,24.52,69.18,6.31
TAMex1034.1,25.23,68.77,6
TAMex1036.1,26.55,69.07,4.37
TAMex1039.1,24.52,69.28,6.21
TAMex1040.1,17.09,75.38,7.53
TAMex1042.1,24.92,72.53,2.54
TAMex1044.1,22.48,75.18,2.34
TAMex1045.1,24.11,70.5,5.39
TAMex1048.1,23.8,70.7,5.49
TAMex1049.1,24.01,72.33,3.66
TAMex1052.1,20.75,74.06,5.19
TAMex1053.1,23.09,73.35,3.56
TAMex1054.1,19.94,76.6,3.46
TAMex1055.1,22.18,74.47,3.36
TAMex1057.1,20.75,75.69,3.56
TAMex1058.1,10.78,84.84,4.37
TAMex1062.1,25.03,71.62,3.36
TAMex1063.1,21.87,75.38,2.75
TAMex1064.1,25.84,69.68,4.48
TAMex1066.1,26.35,70.91,2.75
TAMex1068.1,24.92,71.31,3.76
TAMex1069.2,19.84,74.26,5.9
TAMex1071.1,25.43,71.31,3.26
TAMex1072.1,18.62,78.74,2.64
TAMex1073.1,21.46,74.57,3.97
TAMex1074.1,23.7,68.97,7.32
TAMex1078.1,20.96,76.3,2.75
TAMex1081.1,21.77,75.69,2.54
TAMex1083.1,11.39,83.62,4.98
TAMex1085.1,24.01,71.92,4.07
TAMex1087.1,10.17,84.74,5.09
TAMex1092.1,19.53,75.58,4.88
TAMex1094.1,21.87,72.13,6
TAMex1102.1,24.31,72.23,3.46
TAMex1103.1,22.48,74.47,3.05
TAMex1104.4,18.72,77.82,3.46
TAMex1105.1,11.5,85.15,3.36
TAMex1106.1,24.52,69.68,5.8
TAMex1107.1,23.7,72.63,3.66
TAMex1109.1,15.87,80.37,3.76
TAMex1110.1,22.58,70.7,6.71
TAMex1111.1,26.45,69.07,4.48
TAMex1112.1,27.98,68.67,3.36
TAMex1113.4,20.24,74.87,4.88
TAMex1114.1,22.69,73.86,3.46
TAMex1115.1,19.74,77.11,3.15
TAMex1118.1,24.11,70.5,5.39
TAMex1119.1,11.7,84.54,3.76
TAMex1120.1,17.7,76.2,6.1
TAMex1121.1,8.04,85.66,6.31
TAMex1123.2,24.01,69.99,6
TAMex1124.2,25.03,72.43,2.54
TAMex1125.2,20.24,74.47,5.29
TAMex1126.1,26.14,71.11,2.75
TAMex1129.1,18.11,78.03,3.87
TAMex1136.1,26.86,70.8,2.34
TAMex1137.1,26.04,70.3,3.66
TAMex1138.2,20.75,76.81,2.44
TAMex1139.2,24.52,70.8,4.68
TAMex1140.1,23.3,71.31,5.39
TAMex1143.1,26.75,68.57,4.68
TAMex1144.2,27.47,69.79,2.75
TAMex1146.1,24.01,73.04,2.95
TAMex1147.1,18.82,78.13,3.05
TAMex1149.1,21.46,73.86,4.68
TAMex1151.4,22.18,73.65,4.17
TAMex1152.1,21.26,75.38,3.36
TAMex1154.1,26.25,67.85,5.9
TAMex1156.4,23.8,73.04,3.15
TAMex1157.1,19.13,76.7,4.17
TAMex1160.1,10.27,83.62,6.1
TAMex1162.1,24.01,69.79,6.21
TAMex1163.1,21.57,74.16,4.27
TAMex1164.2,20.85,75.99,3.15
TAMex1165.1,20.55,75.08,4.37
TAMex1167.2,22.89,73.45,3.66
TAMex1168.1,24.11,72.63,3.26
TAMex1169.4,23.5,72.13,4.37
TAMex1177.2,20.65,72.33,7.02
TAMex1178.1,22.28,72.43,5.29
TAMex1192.4,23.4,74.16,2.44
TAMex1195.2,22.58,75.38,2.03
TAMex1197.2,12.72,85.15,2.14
TAMex1198.1,22.99,73.55,3.46
TAMex1202.2,20.55,75.99,3.46
TAMex1204.1,24.21,71.01,4.78
TAMex1207.1,13.53,81.79,4.68
TAMex1216.4,23.19,72.33,4.48
TAMex1217.1,22.79,73.65,3.56
TAMex1218.5,24.82,72.23,2.95
TAMex1219.2,22.79,74.97,2.24
TAMex1220.3,22.99,71.31,5.7
TAMex1222.2,23.8,72.74,3.46
TAMex1223.1,20.55,76.6,2.85
TAMex1230.2,24.42,71.31,4.27
TAMex1231.1,21.46,73.96,4.58
TAMex1232.3,23.8,73.04,3.15
TAMex1233.1,18.01,79.35,2.64
TAMex1239.2,21.87,73.55,4.58
TAMex1242.1,26.65,68.87,4.48
TAMex1243.2,20.35,75.79,3.87
TAMex1244.1,22.79,69.18,8.04
TAMex1245.2,26.75,65.92,7.32
TAMex1246.3,25.03,69.89,5.09
TAMex1247.2,20.75,72.13,7.12
TAMex1248.2,21.36,73.75,4.88
TAMex1258.1,24.52,71.72,3.76
TAMex1260.2,23.4,72.63,3.97
TAMex1263.1,23.5,71.72,4.78
TAMex1264.1,23.19,73.04,3.76
TAMex1266.1,20.45,76.2,3.36
TAMex1268.1,25.23,72.02,2.75
TAMex1271.2,22.99,74.57,2.44
TAMex1275.1,18.62,76.81,4.58
TAMex1276.1,23.19,70.7,6.1
TAMex1277.1,22.48,74.36,3.15
TAMex1279.2,21.87,76.09,2.03
TAMex1283.1,25.53,71.31,3.15
TAMex1284.1,25.43,72.23,2.34
TAMex1285.1,18.41,78.74,2.85
TAMex1288.3,25.94,70.19,3.87
TAMex1298.4,26.86,67.55,5.6
TAMex1300.1,19.43,64.6,15.97
TAMex1301.1,21.67,76.6,1.73
TAMex1302.1,25.13,72.02,2.85
TAMex1305.1,22.79,72.23,4.98
TAMex1306.1,19.74,76.09,4.17
TAMex1308.1,21.87,73.45,4.68
TAMex1310.1,23.91,72.02,4.07
TAMex1312.1,24.72,71.52,3.76
TAMex1316.1,20.85,73.55,5.6
TAMex1321.1,10.38,86.06,3.56
TAMex1322.1,26.04,69.48,4.48
TAMex1323.3,25.74,68.87,5.39
TAMex1326.1,24.82,71.41,3.76
TAMex1327.1,22.99,72.23,4.78
TAMex1332.1,24.52,71.92,3.56
TAMex1336.1,25.03,72.43,2.54
TAMex1337.2,22.99,74.47,2.54
TAMex1340.1,25.13,71.11,3.76
TAMex1342.3,19.43,75.58,4.98
TAMex1344.2,21.97,74.06,3.97
TAMex1346.1,23.3,70.5,6.21
TAMex1348.3,23.19,72.94,3.87
TAMex1349.2,24.82,69.07,6.1
TAMex1350.3,23.91,73.25,2.85
TAMex1352.2,25.23,71.52,3.26
TAMex1353.2,24.72,73.35,1.93
TAMex1354.1,9.36,87.69,2.95
TAMex1355.3,22.79,69.68,7.53
TAMex1356.4,26.75,69.48,3.76
TAMex1358.1,22.18,73.04,4.78
TAMex1360.1,23.7,74.16,2.14
TAMex1363.2,22.99,73.65,3.36
TAMex1364.2,23.3,69.99,6.71
TAMex1366.2,25.23,71.72,3.05
TAMex1369.1,23.3,70.91,5.8
TAMex1373.3,22.38,74.87,2.75
TAMex1378.2,24.52,72.23,3.26
TAMex1382.2,21.26,72.02,6.71
TAMex1383.2,23.09,70.3,6.61
TAMex1384.2,27.98,66.84,5.19
TAMex1386.2,23.5,72.94,3.56
TAMex1390.1,19.63,73.14,7.22
TAMex1391.2,22.69,68.06,9.26
TAMex1392.1,24.82,73.35,1.83
TAMex1393.1,21.67,74.97,3.36
TAMex1394.2,21.97,74.47,3.56
TAMex1395.1,26.25,71.21,2.54
TAMex1396.1,23.09,72.63,4.27
TAMex1398.1,21.46,75.89,2.64
TAMex1399.1,22.89,72.13,4.98
TAMex1404.1,21.87,75.08,3.05
TAMex1407.1,24.31,71.41,4.27
TAMex1408.3,22.89,73.35,3.76
TAMex1409.2,21.77,75.79,2.44
TAMex1410.2,24.01,71.41,4.58
TAMex1414.2,23.91,71.21,4.88
TAMex1417.1,20.96,74.16,4.88
TAMex1419.2,22.89,71.72,5.39
TAMex1422.2,24.62,71.52,3.87
TAMex1423.1,17.7,76.3,6
TAMex1425.1,24.01,70.8,5.19
TAMex1427.2,24.31,71.82,3.87
TAMex1428.1,20.96,74.67,4.37
TAMex1429.2,22.38,69.38,8.24
TAMex1430.2,18.51,72.63,8.85
TAMex1432.2,21.06,76.2,2.75
TAMex1433.1,17.5,78.74,3.76
TAMex1434.1,22.79,73.65,3.56
TAMex1437.1,27.67,66.53,5.8
TAMex1438.1,16.58,79.04,4.37
TAMex1439.2,26.25,68.77,4.98
TAMex1442.3,22.89,74.67,2.44
TAMex1443.1,24.42,69.79,5.8
TAMex1445.2,24.62,70.3,5.09
TAMex1446.1,24.62,71.72,3.66
TAMex1447.2,20.04,75.28,4.68
TAMex1448.1,23.6,71.01,5.39
TAMex1449.1,23.5,73.55,2.95
TAMex1450.1,25.23,72.23,2.54
TAMex1452.1,19.84,75.79,4.37
TAMex1454.1,22.99,67.55,9.46
TAMex1455.1,23.7,72.13,4.17
TAMex1458.2,19.74,76.6,3.66
TAMex1460.1,21.67,75.18,3.15
TAMex1461.2,25.33,71.72,2.95
TAMex1462.2,24.21,71.62,4.17
TAMex1463.1,16.58,78.33,5.09
TAMex1464.2,18.01,74.87,7.12
TAMex1465.1,22.08,68.36,9.56
TAMex1466.2,24.21,71.41,4.37
TAMex1467.1,24.01,68.77,7.22
TAMex1469.2,27.06,69.48,3.46
TAMex1472.1,23.7,70.91,5.39
TAMex1474.1,24.92,70.8,4.27
TAMex1477.2,25.23,67.55,7.22
TAMex1480.1,19.63,74.77,5.6
TAMex1481.1,26.04,70.09,3.87
TAMex1484.1,16.28,78.33,5.39
TAMex1485.1,20.24,73.04,6.71
TAMex1488.1,22.08,72.02,5.9
TAMex1490.1,21.67,71.82,6.51
TAMex1493.1,17.5,75.79,6.71
TAMex1496.1,25.13,70.7,4.17
TAMex1497.1,26.55,68.46,4.98
TAMex1500.1,15.46,76.09,8.44
TAMex1501.1,17.8,75.99,6.21
TAMex1502.1,23.5,70.91,5.6
TAMex1504.1,25.94,69.58,4.48
TAMex1505.1,24.52,71.72,3.76
TAMex1506.1,16.99,77.62,5.39
TAMex1508.4,24.01,71.92,4.07
TAMex1509.1,25.23,70.4,4.37
TAMex1516.1,23.5,67.65,8.85
TAMex1518.1,21.87,73.14,4.98
TAMex1519.1,24.62,70.7,4.68
TAMex1522.1,21.16,71.11,7.73
TAMex1524.1,24.82,69.18,6
TAMex1525.2,25.33,71.82,2.85
TAMex1528.1,22.99,72.53,4.48
TAMex1529.2,21.87,71.31,6.82
TAMex1530.2,22.89,73.55,3.56
TAMex1531.1,22.89,71.41,5.7
TAMex1534.2,25.43,69.79,4.78
TAMex1535.2,26.65,69.68,3.66
TAMex1537.1,22.38,68.46,9.16
TAMex1539.1,22.28,73.96,3.76
TAMex1541.2,8.04,88.71,3.26
TAMex1544.1,21.97,71.11,6.92
TAMex1546.2,20.75,76.09,3.15
TAMex1548.2,21.46,73.75,4.78
TAMex1549.1,21.67,74.77,3.56
TAMex1551.1,16.79,74.77,8.44
TAMex1554.1,26.55,69.68,3.76
TAMex1557.1,19.13,73.55,7.32
TAMex1558.1,21.57,70.7,7.73
TAMex1559.1,20.45,73.45,6.1
TAMex1560.2,14.04,80.87,5.09
TAMex1561.2,23.4,70.09,6.51
TAMex1566.1,21.36,75.69,2.95
TAMex1567.1,23.91,71.21,4.88
TAMex1568.1,22.79,74.57,2.64
TAMex1569.1,23.4,71.62,4.98
TAMex1571.1,24.92,66.73,8.34
TAMex1574.1,20.96,73.25,5.8
TAMex1575.1,21.26,73.96,4.78
TIP-260A,1.63,89.32,9.05
TIP-263A,1.93,92.47,5.6
TIP-265A,2.14,94.1,3.76
TIP-267A,0.81,92.78,6.41
TIP-272A,1.02,95.32,3.66
TIP-276A,3.76,91.25,4.98
TIP-281A,3.87,91.86,4.27
TIP-282A,1.93,93.49,4.58
TIP-285A,2.95,92.98,4.07
TIP-287A,1.12,94,4.88
TIP-293A,1.83,93.08,5.09
TIP-296A,1.02,93.79,5.19
TIP-301-A,8.75,87.49,3.76
TIP-304-A,3.05,91.15,5.8
TIP-305-A,1.02,93.69,5.29
TIP-309-A,1.42,94,4.58
TIP-313-A,2.44,93.08,4.48
TIP-318-A,2.34,92.88,4.78
TIP-326-A,2.64,93.69,3.66
TIP-329-A,3.46,90.74,5.8
TIP-330-A,1.83,94.71,3.46
TIP-338-A,1.63,93.29,5.09
TIP-343-A,1.63,95.32,3.05
TIP-347-A,1.73,94.2,4.07
TIP-351-A,1.02,94.51,4.48
TIP-356-A,0.61,91.15,8.24
TIP-359-A,2.95,88.61,8.44
TIP-365-A,2.34,94.4,3.26
TIP-366-A,1.22,94,4.78
TIP-370-A,1.42,95.63,2.95
TIP-375-A,1.63,95.93,2.44
TIP-380-A,0.61,96.85,2.54
TIP-454,2.03,95.83,2.14
TIP-458,1.32,96.24,2.44
TIP-462,6,88.71,5.29
TIP-466,1.73,96.34,1.93
TIP-469,0.92,95.63,3.46
TIP-475,2.24,95.22,2.54
TIP-489,1.22,96.03,2.75
TIP-496,0.61,97.46,1.93
TIP-498,0.61,96.95,2.44
TIP-508,0.81,96.34,2.85
TIP-512,0.92,96.03,3.05
TIP-521,0.41,96.54,3.05
TIP-523,0.71,96.74,2.54
TIP-529,0.81,96.74,2.44
TIP-534,0.61,90.64,8.75
WB0021a,20.75,73.45,5.8
WB0022a,0.81,96.03,3.15
ZDP_0001a,19.53,78.03,2.44
ZDP_0002a,26.35,70.4,3.26
ZDP_0004a,14.75,81.49,3.76
ZDP_0005a,13.43,84.64,1.93
